,OPTIMIZER,learning_rate,score
299,_v2.adam.Adam,0.9898990909090909,[[396.22218111]]
300,_v2.adam.Adam,1.0,[[2427.07877452]]
301,sprop.RMSprop,1e-05,[[456.01405706]]
302,sprop.RMSprop,0.01011090909090909,[[313.42068789]]
303,sprop.RMSprop,0.02021181818181818,[[690.38018817]]
304,sprop.RMSprop,0.030312727272727272,[[374.86489104]]
305,sprop.RMSprop,0.04041363636363637,[[340.46389021]]
306,sprop.RMSprop,0.05051454545454546,[[352.13164857]]
307,sprop.RMSprop,0.06061545454545455,[[555.35468918]]
308,sprop.RMSprop,0.07071636363636363,[[1281.22885751]]
309,sprop.RMSprop,0.08081727272727272,[[435.27799359]]
310,sprop.RMSprop,0.09091818181818181,[[362.27535972]]
311,sprop.RMSprop,0.1010190909090909,[[345.18152436]]
312,sprop.RMSprop,0.11112,[[362.66465058]]
313,sprop.RMSprop,0.12122090909090909,[[317.51856896]]
314,sprop.RMSprop,0.1313218181818182,[[373.97370237]]
315,sprop.RMSprop,0.14142272727272728,[[386.60609993]]
316,sprop.RMSprop,0.15152363636363636,[[320.70164892]]
317,sprop.RMSprop,0.16162454545454547,[[338.68788813]]
318,sprop.RMSprop,0.17172545454545457,[[465.37066142]]
319,sprop.RMSprop,0.18182636363636365,[[354.24623098]]
320,sprop.RMSprop,0.19192727272727272,[[395.28689752]]
321,sprop.RMSprop,0.20202818181818183,[[470.70658088]]
322,sprop.RMSprop,0.21212909090909093,[[512.60349731]]
323,sprop.RMSprop,0.22223,[[897.57434743]]
324,sprop.RMSprop,0.2323309090909091,[[360.85743093]]
325,sprop.RMSprop,0.2424318181818182,[[325.0591669]]
326,sprop.RMSprop,0.2525327272727273,[[363.35930561]]
327,sprop.RMSprop,0.2626336363636364,[[475.67338433]]
328,sprop.RMSprop,0.27273454545454545,[[363.21294392]]
329,sprop.RMSprop,0.28283545454545456,[[303.95526435]]
330,sprop.RMSprop,0.29293636363636366,[[326.59791653]]
331,sprop.RMSprop,0.3030372727272727,[[395.08059228]]
332,sprop.RMSprop,0.3131381818181818,[[326.31680529]]
333,sprop.RMSprop,0.3232390909090909,[[344.27139868]]
334,sprop.RMSprop,0.33334,[[325.26038582]]
335,sprop.RMSprop,0.34344090909090913,[[344.0680539]]
336,sprop.RMSprop,0.3535418181818182,[[572.81033925]]
337,sprop.RMSprop,0.3636427272727273,[[363.16754079]]
338,sprop.RMSprop,0.3737436363636364,[[318.97981238]]
339,sprop.RMSprop,0.38384454545454544,[[371.98920497]]
340,sprop.RMSprop,0.39394545454545454,[[338.50281026]]
341,sprop.RMSprop,0.40404636363636365,[[314.03341445]]
342,sprop.RMSprop,0.41414727272727275,[[332.7172886]]
343,sprop.RMSprop,0.42424818181818186,[[401.31970578]]
344,sprop.RMSprop,0.4343490909090909,[[308.72481212]]
345,sprop.RMSprop,0.44445,[[1272.62147759]]
346,sprop.RMSprop,0.4545509090909091,[[394.83812972]]
347,sprop.RMSprop,0.46465181818181817,[[310.82868457]]
348,sprop.RMSprop,0.47475272727272727,[[476.29469483]]
349,sprop.RMSprop,0.4848536363636364,[[399.83638963]]
350,sprop.RMSprop,0.4949545454545455,[[361.48617826]]
351,sprop.RMSprop,0.5050554545454545,[[345.66818565]]
352,sprop.RMSprop,0.5151563636363636,[[303.77586923]]
353,sprop.RMSprop,0.5252572727272727,[[300.67077878]]
354,sprop.RMSprop,0.5353581818181817,[[369.36228329]]
355,sprop.RMSprop,0.5454590909090908,[[383.50749682]]
356,sprop.RMSprop,0.5555599999999999,[[310.49049344]]
357,sprop.RMSprop,0.565660909090909,[[387.76555962]]
358,sprop.RMSprop,0.5757618181818182,[[364.38168746]]
359,sprop.RMSprop,0.5858627272727273,[[433.08224499]]
360,sprop.RMSprop,0.5959636363636364,[[352.86631553]]
361,sprop.RMSprop,0.6060645454545454,[[391.88413096]]
362,sprop.RMSprop,0.6161654545454545,[[315.66018676]]
363,sprop.RMSprop,0.6262663636363636,[[403.81261835]]
364,sprop.RMSprop,0.6363672727272727,[[423.96398888]]
365,sprop.RMSprop,0.6464681818181818,[[361.71898779]]
366,sprop.RMSprop,0.6565690909090909,[[381.30871162]]
367,sprop.RMSprop,0.66667,[[298.99656238]]
368,sprop.RMSprop,0.6767709090909091,[[319.17326273]]
369,sprop.RMSprop,0.6868718181818182,[[454.69765862]]
370,sprop.RMSprop,0.6969727272727272,[[332.48668223]]
371,sprop.RMSprop,0.7070736363636363,[[386.0732063]]
372,sprop.RMSprop,0.7171745454545454,[[334.16167935]]
373,sprop.RMSprop,0.7272754545454545,[[528.78997221]]
374,sprop.RMSprop,0.7373763636363636,[[301.69945533]]
375,sprop.RMSprop,0.7474772727272727,[[1229.97341161]]
376,sprop.RMSprop,0.7575781818181818,[[339.35785084]]
377,sprop.RMSprop,0.7676790909090908,[[313.80021453]]
378,sprop.RMSprop,0.7777799999999999,[[445.01186272]]
379,sprop.RMSprop,0.787880909090909,[[307.00093916]]
380,sprop.RMSprop,0.7979818181818181,[[314.62753443]]
381,sprop.RMSprop,0.8080827272727272,[[368.50199451]]
382,sprop.RMSprop,0.8181836363636363,[[328.30553266]]
383,sprop.RMSprop,0.8282845454545454,[[362.82859385]]
384,sprop.RMSprop,0.8383854545454545,[[363.76312381]]
385,sprop.RMSprop,0.8484863636363636,[[307.34459258]]
386,sprop.RMSprop,0.8585872727272726,[[390.22706949]]
387,sprop.RMSprop,0.8686881818181817,[[727.23093709]]
388,sprop.RMSprop,0.8787890909090909,[[609.24763978]]
389,sprop.RMSprop,0.88889,[[344.53834235]]
390,sprop.RMSprop,0.8989909090909091,[[318.786144]]
391,sprop.RMSprop,0.9090918181818182,[[514.91454893]]
392,sprop.RMSprop,0.9191927272727273,[[786.61046483]]
393,sprop.RMSprop,0.9292936363636363,[[379.54294898]]
394,sprop.RMSprop,0.9393945454545454,[[445.34098641]]
395,sprop.RMSprop,0.9494954545454545,[[340.29434963]]
396,sprop.RMSprop,0.9595963636363636,[[438.94473749]]
397,sprop.RMSprop,0.9696972727272727,[[447.52903792]]
398,sprop.RMSprop,0.9797981818181818,[[319.21949174]]
399,sprop.RMSprop,0.9898990909090909,[[351.78997317]]
400,sprop.RMSprop,1.0,[[462.95982263]]
